videoTitle,videoCategoryId,videoViews,videoLikes,videoDislikes,videoCommentCount,channelViewCount,channelSubsCount,channelVideoCount,dayDifference,publishedZTimeFloat,publishedDayOfWeek,ageOfChannelDays,videoDurationSeconds,numberOfVideoTags
M Huncho x Dutchavelli - Burning [Music Video] | #GRM10,10,2275957,90297,1093,6161,3288313258,3020000,8932,7,20.01361111,5,3227,183,11
"AUBAMEYANG, ARTETA AND ARSENAL",17,56882,3182,51,465,12652690,146000,446,3,17.86,2,2898,602,19
The Lopez Brothers Do My Makeup!,26,6247902,453655,11862,21123,191701999,3170000,98,6,18.00222222,6,2700,1577,41
Trying EXPENSIVE Ice cream From Instagram,26,1542731,72090,2010,6478,256335900,2620000,101,5,18.69083333,7,2213,609,9
WTF Is 365 Days - Let Me Explain,24,515434,19017,150,2493,133791612,745000,324,4,18.23861111,1,2832,381,29
BLACKPINK - 'How You Like That' Concept Teaser Video,10,16865655,1720992,40961,88503,9503881803,37300000,268,4,0.000833333,1,1457,15,23
"Camila Cabello - ""First Man""",10,1046477,206575,1110,13842,79874358,13600000,36,4,18.67805556,1,1780,242,25
"Score On Me, You Get $100 vs 7'5"" Hooper & Random People!",20,207843,9261,163,549,118777698,720000,244,4,17.06944444,1,3184,735,16
Making The McDonald's McGriddle At Home | But Better,26,1269337,59915,1219,4077,158584285,2190000,188,4,14.00277778,1,2309,568,25
Surprising Friends & Family With Our Final Pregnancy!,22,482929,25612,276,917,479605307,1520000,1290,4,3.937222222,1,1880,311,18
"J.I., Lil Tjay - Hood Scars 2 (Official Music Video)",10,3112757,184993,3254,6537,146856059,679000,29,6,17.00944444,6,2779,223,30
BLACK PARADE,10,2312500,141577,7612,14061,557885024,409000,1079,5,3.194722222,7,2597,282,4
CASH vs BRAWADIS Basketball 1v1! **Heated Game**,22,1131190,76368,4368,24724,1150480412,4630000,1471,4,16.99944444,1,1910,1231,15
The Demon In My House,22,9073940,639624,36184,101441,5638501582,23100000,1674,7,21.00166667,5,5390,1932,6
Aston Villa 1-2 Chelsea | Two Goals in Two Minutes for the Blues! | Premier League Highlights,17,1402972,25759,542,1044,317563583,1830000,3062,4,21.00055556,1,5231,132,31
Boating Made (TOO) Easy! - JonTron,23,2973064,190677,3163,13364,1005309369,6250000,121,6,19.32638889,6,3585,1185,8
Art Things To Do When Bored #4,24,4067693,154969,2449,34702,1290288132,5100000,252,6,20.00444444,6,3592,1330,17
ENPOSIB - OVERDOSE FT. PHYLLISIA ROSS,10,437808,19570,244,2882,18814657,65600,35,5,23.50305556,7,3516,288,9
HE WROTE A SONG FOR HIS EX GIRLFRIEND...,22,1988938,131596,2271,3355,180974182,1880000,118,5,23.00361111,7,2344,280,22
Real Sociedad 1-2 Real Madrid - HIGHLIGHTS & GOALS - 6/21/2020,17,363679,3239,332,1432,60065466,299000,5679,4,22.53805556,1,2901,345,18
CashNasty Vs Brawadis Game To 11 Sneak Peek!,17,489741,14199,281,2696,8429994,101000,264,4,3.164444444,1,3147,912,8
I'M PREGNANT!,20,687066,57658,744,46456,895939109,2520000,4389,5,17.02888889,7,2933,491,7
UFC's Dana White gives his take on newcomer Max Rohskopf quitting between rounds,17,79611,965,32,229,23422645,25700,9049,4,7.493888889,1,2388,161,17
Bubba and Rory discuss crab ruling at RBC Heritage,17,585872,2503,198,259,514311756,556000,17154,5,18.26111111,7,5077,130,17
Fredo Bang - Receipts (Official Music Video),10,610435,29459,977,1855,166587225,454000,84,6,20.00305556,6,926,139,34
42 Dugg - World On My Shoulder (Official Video),10,1667177,27346,622,821,33164951,91800,31,6,17.00416667,6,993,127,1
We Broke Up,23,6099872,385662,29499,50730,107869974,1750000,43,6,4.099444444,6,1255,390,0
Gucci Mane - Still Remember feat. Pooh Shiesty,10,2869946,117288,3103,5194,1902928425,3860000,244,6,4.007222222,6,3912,243,28
Titanium - The Metal That Made The SR-71 Possible,28,1042117,37142,554,1715,191012984,2560000,108,5,14.50277778,7,2478,1070,6
1 GALLON JAR of PICKLES CHALLENGE,24,4420402,245257,4986,20911,2203902697,11700000,356,5,0.953888889,7,2862,335,13
GIANT AXE Vs. GIANT STUMP Dropped from 45m!,17,1668807,78724,2411,17658,939465196,5880000,284,6,22.00055556,6,3942,1040,24
The Playstation 5 Reveal | Girlfriend Reviews,20,648559,43513,1111,1841,70985854,960000,67,5,16,7,1640,435,44
YOU MONSTER,24,472341,44210,1117,2542,1413156511,7870000,192,5,15.00555556,7,3692,343,8
"Rio Da Yung Og x Louie Ray - ""Movie"" (Official Video) Shot By JerrickHD",10,328526,14425,288,473,22204205,61200,39,6,16.00305556,6,443,210,21
SHAQ'S NEW *KOI POND* The Big Reveal!!!,22,1175075,24823,457,1628,15098079,157000,498,6,14.00277778,6,3404,613,16
Sunrise | Summer Solstice 2020 at Stonehenge,24,291250,8507,340,425,81894396,1010000,427,4,4.250833333,1,3719,3275,10
What the HELL is Red Shoes and the Seven Dwarfs?,24,1436533,104336,1278,11875,184390612,1080000,238,6,18,6,4664,1942,11
Tottenham v. Manchester United | PREMIER LEAGUE HIGHLIGHTS | 6/19/2020 | NBC Sports,17,544563,5359,231,1046,589884394,1220000,11827,6,22.89472222,6,3061,758,25
Brewstew - Father's Day,23,990971,70152,627,4613,363638306,1240000,127,6,19.8825,6,2686,258,13
Picture in Picture and more iOS 14 updates with Craig Federighi at WWDC,28,133584,2669,110,914,15514635,34000,430,3,17.43888889,2,300,459,12
YoungBoy Never Broke Again - One Shot (feat. Lil Baby) [Official Audio],10,3754907,92851,2296,4297,9466288950,11000000,1104,7,17.24277778,5,4941,197,4
Inter 2-1 Sampdoria | Lukaku and Martinez Find the Back of the Net for Inter! | Serie A TIM,17,1594244,22169,674,918,1371544417,4530000,18893,4,22.50083333,1,2795,254,40
The Grave of the SECRET PORPOISE *ssshh*,27,261032,25541,169,2266,133970806,1120000,233,5,14.01694444,7,3190,528,14
Kenia Os - Dinero (Official Video),10,4170341,419703,40231,69961,303840061,3050000,17,6,22.00305556,6,697,162,28
Going into Labor During the Pandemic - itsjudyslife,22,611220,21578,330,2459,1004672982,1720000,3083,5,19.00305556,1,3761,906,21
Ryan Blaney LIVE in-car at Talladega Superspeedway | NASCAR Cup Series,17,137369,3038,157,143,239340487,521000,12444,3,2.186666667,3,3118,17721,0
Introducing Naturium: My New Skincare Brand!,26,349756,22032,5258,7404,140183297,1250000,320,4,1.001111111,2,2494,1319,7
"""Call it!"" - UFC fighter throws in the towel as trainer won't stop the fight | Corner Cam",17,1213171,16357,356,2647,1338081240,2810000,5857,5,17.00833333,1,2732,115,7
Testing Weird Products I Bought Online From Shein!,26,255030,12098,106,980,114177287,1280000,142,5,17.10277778,1,2223,1200,25
the truth about us ft. Nikita & Larray,22,3425009,254972,3224,21494,35581601,1570000,11,6,19.1525,7,241,660,6
LOST Children at Bondi Beach,24,5411041,118813,1827,12748,254857348,806000,465,6,22.00055556,7,4876,1004,22
"Mixer is Dead, Ninja and Shroud Free to Go Elsewhere",20,226718,7578,141,1344,37395166,175000,2349,4,19.00138889,2,788,183,25
Unboxing and Testing Two Surprise Mountain Bikes!,17,746934,34791,525,2176,19740774,442000,26,5,14.00416667,1,196,921,9
I Solved The Disappearance Of My Dad's Best Friend,22,1042393,71348,760,4349,385543786,3900000,179,5,15.00361111,1,774,1992,27
THANK YOU A MILLION,1,912689,104612,473,8412,125758721,1060000,87,5,17.00083333,1,1755,534,6
Addicted to PALETAS,23,643162,22541,834,2605,233961092,790000,227,5,23.00333333,1,3975,266,19
We Became Identical And Switched Places. No One Noticed,23,4569812,490915,3144,23276,1762420818,11100000,267,6,19.00305556,7,2300,1127,4
Apple WWDC 2020 Complete Recap,28,198309,5372,215,774,37997826,658000,147,4,20.4375,2,1714,2804,3
"Shootings over violent weekend leave more than 60 wounded, 9 dead including 3-year-old",25,953133,13992,614,13622,148335338,109000,7159,5,23.31194444,1,5210,158,8
Taylor Swift - Cornelia Street (Live From Paris),10,887604,110175,573,7434,18848587199,26700000,126,4,10.00583333,2,4063,302,8
I'M GETTING ENGAGED! PLANNING THE PERFECT PROPOSAL,22,676206,44858,560,4176,188949021,1940000,378,6,18.00111111,1,1869,454,12
The Headhunter (Clash of Clans Official),20,6470432,144616,3749,6204,2423573332,15600000,0,6,11.89861111,1,2704,65,28
"HIGHLIGHTS! | MAN CITY 5-0 BURNLEY | PHIL FODEN, RIYAD MAHREZ, DAVID SILVA | MAN CITY",17,1415969,24447,855,1667,652531282,2550000,5024,5,23.00111111,2,4008,121,31
Italian Beef Sandwich | Matty Matheson's Home Style Cookery Ep. 1,23,801450,25746,722,2396,18827885,628000,30,6,15.00277778,1,5214,601,16
iOS 14: iPhone FINALLY copies Android,28,153109,6414,341,1535,544607472,1570000,4451,5,18.89027778,2,4768,519,29
MANCHESTER UNITED vs SHEFFIELD UNITED With MARK GOLDBRIDGE LIVE,17,408359,8618,317,179,312649716,722000,4429,3,19.87861111,4,2152,10953,23
Solskjaer 3 Transfers From Title! Man Utd Transfer News,24,147317,5550,219,855,312649716,722000,4429,2,10.10916667,5,2152,1827,24
A Tour Of My Plants! (living and dead),22,299282,53391,94,6323,620344118,4100000,288,5,19.00277778,2,5254,624,30
Not Now Bernard | Cbeebies Bedtime Stories With A Roadman,22,182805,14314,96,672,5557803,93500,59,5,14.98166667,2,4914,354,23
PE With Joe | Monday 22nd June,17,366951,8884,263,479,191936271,2490000,0,5,8.851944444,2,3242,2413,0
London Apartment Hunting + who I'm Moving in With !,26,386568,22022,261,808,44553750,572000,218,6,15.86305556,1,2237,1412,33
WHAT i GOT for my 15th BIRTHDAY !!,22,259347,16751,279,1241,29123510,331000,81,6,18.005,1,728,779,11
SIDEMEN vs W2S FOOTBALL CHALLENGE,24,4935394,317695,2929,15837,1623348770,8500000,153,6,17.00416667,1,1840,1375,5
"Big Show confronts Randy Orton & Ric Flair: Raw, June 22, 2020",17,1703416,41711,1080,2715,44765712246,62200000,48296,4,3.925833333,3,4796,191,29
Korda Thinking Tackle OD 3 EP1: Danny Fairbrass & Darrell Peck | Carp Fishing 2020 (100 MINUTES),17,176845,2145,62,375,44822818,163000,932,6,16.75,1,3745,5988,25
"Rey Mysterio wants payback against Seth Rollins: Raw, June 22, 2020",17,2252482,52122,1608,2038,44765712246,62200000,48296,4,4.263055556,3,4796,184,29
WWDC 2020 Impressions: Widgets and The Great Transition!,28,4520359,206965,3949,22495,1947317079,11400000,1246,4,1.848055556,3,4481,932,8
"Dolph Ziggler challenges Drew McIntyre for Extreme Rules: Raw, June 22, 2020",17,956570,23548,761,2256,44765712246,62200000,48296,4,3.124166667,3,4796,185,25
Somebody That I Used To Know (Bardcore/Medieval Style Cover with Vocals),10,1177206,122832,398,6285,13454213,503000,5,6,18.35111111,1,5102,269,11
Every Postmates Ever,23,637845,36873,643,2574,9496367028,25100000,1131,5,16.00638889,2,5334,754,10
FLAWLESS Female Singers Audition For The X Factor UK | X Factor Global,24,141846,941,79,69,1377680733,3810000,914,5,15.50166667,2,2704,1271,27
Brighton 2-1 Arsenal | Arsenal Are Spineless! (DT Passionate Rant),17,885226,18882,1044,4812,836359556,1160000,12513,7,16.84972222,7,2805,781,36
The Critic | Rudy Mancuso,23,267861,25040,289,1087,1288438701,7330000,131,4,14.98027778,3,3193,257,28
4 Levels of Dumplings: Amateur to Food Scientist | Epicurious,24,957772,22451,431,3043,740808106,2840000,1240,4,16.00083333,3,4651,1250,26
Cash vs Brawadis 1v1 Rivalry Basketball Game!,24,1607093,95030,3010,16104,754500137,3610000,2129,6,17.00972222,1,2562,2592,15
G-Eazy - Nostalgia Cycle (Visualizer),10,596501,37932,1321,2196,3433764825,3800000,149,5,16.00527778,2,2255,165,34
Recreating Taco Bell's Discontinued Volcano Taco,24,377016,15830,135,1319,59484803,1340000,76,4,10.0075,3,2347,819,22
The US electrical system is not 120V,28,566127,41976,879,12032,66780894,750000,112,5,13.41805556,2,2057,1466,0
The full story of our accident.,22,750180,55958,272,3543,29519523,411000,32,6,18.18416667,1,1251,1989,5
telling my boyfriend i might be pregnant,24,1022050,61653,1746,8942,282853645,1900000,323,6,20.18027778,1,1469,778,14
Surprising Logan Paul With My New Car,22,259712,16299,301,659,688637,20600,5,5,16.38583333,2,143,613,21
"Today, we lost someone special",22,1050204,147619,561,28534,452294096,1960000,378,4,17.90638889,4,1976,134,0
Karabasan - Les histoires bizarres du professeur Zarbi,23,125890,8820,100,737,230726324,677000,327,4,4.003888889,4,3825,631,16
Visa Zero Liability,24,3343022,33,36,29,5909924,3630,12,19,19.82333333,3,3614,16,0
First Overall Pick,17,103034,11936,88,2633,34409814,125000,1780,4,3.864722222,4,4871,689,6
COPYCAT 2 - PAROLE DE CHAT,15,385364,35755,479,1621,378379699,1430000,134,4,10.4525,4,3436,164,0
GLK - Sinaloa feat. Soolking & Koba LaD (Clip Officiel),10,2424971,127784,4029,4817,113856319,470000,64,4,14.00138889,4,3801,237,11
Neil deGrasse Tyson Explains Nothing,28,402657,19726,420,3015,67311490,1190000,480,4,0.002222222,4,3476,825,25
Are Dean Unglert and Caelynn Miller-Keyes Married? - The Bachelor: The Greatest Seasons - Ever!,24,271339,2358,52,236,79336781,84400,702,5,6.003888889,3,1122,128,8
"GETTING MY LIFE TOGETHER *glow up, kinda*",24,3195510,222581,2958,12178,1110553088,9090000,0,7,19.13083333,1,1476,1033,6
Alicia Keys: NPR Music Tiny Desk Concert,10,1658528,80945,772,4064,1071509628,4150000,1796,6,9.005277778,2,4560,1667,9
HIGHLIGHTS | SPURS 2-0 WEST HAM,17,623794,10439,241,717,243550188,1160000,1779,5,23.25,3,3194,135,20
Bologna 0-2 Juventus | Juve Return to Serie A With a Win and 4 Points Clear of Lazio! | Serie A TIM,17,2731393,42812,1188,2232,1387514725,4600000,18908,6,22.51,2,2798,254,40
First Date Does My Makeup,24,5711413,258117,44797,50651,2354928335,18000000,378,7,18.00916667,1,5248,1524,17
CATHERINE'S IN LABOR!!!,22,9535890,519378,13704,51680,3824622121,18800000,540,6,0.305555556,2,1631,1116,13
Lindsey Stirling - Between Twilight,10,718833,69020,424,3052,2939567093,12500000,140,5,16.00277778,3,4788,277,8
Little Black Dresses for Every Occasion,26,165854,5855,82,510,74993460,1060000,119,5,17.00083333,3,804,1062,31
iOS 14 Beta 1 Review!,28,312152,6416,192,1351,213512881,583000,1762,6,22.82111111,2,3386,778,30
SMITE - Avatar Battle Pass - Available July 2020!,20,1023845,32517,830,4087,267102045,1080000,2168,6,15.19777778,2,3433,50,27
24 Hours NO PHONE Challenge!!  *locking our phones away,24,868778,49461,1179,9718,1171675033,8250000,332,6,1.060833333,2,4454,1039,15
#Hamilfilm Official Trailer,24,988934,54148,980,5729,81413193,491000,0,6,2.360277778,2,1866,60,0
Maes - Dybala ft. Jul,10,2530995,111852,2372,3745,320341172,42700,10,5,14.00222222,3,737,211,17
Why Americans Eat Dessert for Breakfast,27,696622,46662,2478,10560,12208590,340000,33,6,13.90555556,2,3308,793,16
Des larmes de rires avec Jonathan Cohen (le secret de Carlito),24,3563588,296706,9132,11847,1119213100,5580000,239,7,8.014722222,1,2748,1956,25
GOLDBRIDGE! MAGUIRE TIME! NORWICH 1-2 MANCHESTER UNITED Match Reaction,17,164186,6050,246,783,313635104,724000,4441,1,20.35111111,7,2153,1940,23
Chelsea beat Man City to crown Liverpool PL Champions | Chelsea 2-1 Man City | EPL Highlights,17,1178209,20425,705,3812,970649501,2140000,3241,3,21.53916667,5,1819,186,24
Liverpool squad crash Virgil van Dijk interview after being crowned Premier League champions!,17,1279278,39172,908,2093,1340455089,2810000,5872,3,22.4175,5,2734,302,14
So Far (Official Video) | Karan Aujla |  J Statik | Planet Recordz | Latest Punjabi Songs 2020,10,5151183,237265,19750,22153,211377599,869000,493,3,4.506111111,5,4952,196,24
GOLDBRIDGE! MARTIAL HAT-TRICK AT LAST!!!  Manchester United 3-0 Sheffield United Match Reaction,17,251783,16211,294,799,313635104,724000,4441,4,20.03777778,4,2153,1792,23
Engagement Party | OZZY RAJA,23,540283,19659,663,1082,276579310,766000,201,3,6.0025,5,5229,227,9
Meeting of the Doctors | Doctor Who | HBO Max,24,241492,11286,171,1877,32297830,111000,53,4,16.00916667,4,361,1216,27
Getting a lab puppy,2,296138,16690,391,1696,210916222,607000,420,3,1.455555556,5,2142,4456,0
YACHT TOUR SUNSEEKER 84 MANHATTAN! | VLOG 01 (PART 2) S.5,22,447478,15359,243,635,389102600,1470000,892,4,17.92305556,4,4664,637,0
"THREE DOCTORS! Jodie Whittaker, Matt Smith and David Tennant | HBO Max | Doctor Who",24,191332,9884,106,855,507066205,1440000,0,4,16.00277778,4,5309,91,24
The Yiannimize Courtesy Car Fleet Getting a Makeover!,2,108623,2469,89,506,240435763,1550000,0,4,18.00222222,4,2357,307,6
PE With Joe | Wednesday 24th June,17,299731,7752,220,324,192194606,2490000,436,4,8.568055556,4,3243,1983,0
HOW I LOST 30 POUNDS IN 3 MONTHS,23,193247,17793,109,1023,19666064,629000,28,3,2.233333333,5,967,1153,0
Drone Helicopter Hybrid,28,648030,40594,518,1998,43552662,407000,122,4,16,4,3182,541,0
"My FULL London house tour, before everything changes *3 Years strong!*",26,682128,34387,348,2197,329755775,2910000,766,5,18.50277778,3,4145,1247,5
DT DAILY | LUIZ SIGNS A NEW CONTRACT AND IT'S NOT EVEN APRIL 1ST,17,94346,2994,118,619,47419271,235000,748,4,6.001111111,4,2732,804,25
We Shouldn't Lose Again! | Man United 3-0 Sheff Utd | United Review,17,86132,5436,67,431,29067919,143000,972,4,20.25777778,4,5093,1869,28
"KSI Reacts To YouTube Rappers (TMG, Dax, FaZe Jarvis) | The Cosign",10,675381,51003,905,3866,2025154755,8490000,2311,5,19.84722222,3,3175,580,34
Richard Hammond reveals scenes that never made it onto Top Gear,2,710607,28670,296,1408,177388709,1390000,370,4,18.15388889,4,1382,331,6
Highlights Real Madrid vs RCD Mallorca (2-0),17,1573430,13167,466,484,1405410439,5630000,34110,4,23.02138889,4,5099,91,43
Back To Work With THE SIDEMEN [W2S FOOTBALL CHALLENGE],22,515710,32656,158,1106,28489946,627000,85,5,12.56611111,3,2465,1198,0
We Broke Up.,22,227395,13726,929,3088,383290652,2510000,118,5,17,3,1709,389,0
KATIE PRICE: PRINCESS GET'S A PUPPY FT PETER ANDRE,24,330143,9426,396,829,5063423,123000,23,5,16.00027778,3,437,572,22
RENTING VS BUYING a home in 2020 the TRUE cost they don't want you to know  *You might be surprised*,22,106592,7145,74,849,6026716,244000,36,4,18.50166667,4,843,1075,7
Atalanta 3-2 Lazio | Atalanta Hit Back From 2 Goals Down To Beat Lazio 3-2! | Serie A TIM,17,1813535,27086,626,1447,1387514725,4600000,18908,4,22.50027778,4,2798,254,45
DAVID LUIZ SIGNS NEW ARSENAL CONTRACT,17,138718,6238,88,869,12941457,149000,450,5,23.83194444,3,2901,432,21
Inter 3-3 Sassuolo | Sassuolo Makes Incredible Comeback fIn The 89th Minute! | Serie A TIM,17,1484187,18948,603,937,1387514725,4600000,18908,4,20.50527778,4,2798,254,42
FUNNY MEMES: Don't Leave Me,24,4139359,295808,5890,14186,1812759794,9610000,976,5,18.0175,3,3441,622,3
Gypsy Bride Needs A 53ft Lorry To Carry Her Wedding Dress | Gypsy Brides US,24,422129,5484,279,632,2662903936,4210000,1922,5,11.00416667,3,2757,479,12
"Si Ferry Meets... Andy Halliday | Life at Rangers w/ Gerrard, Warburton & Pedro, Teammates & Stories",17,140199,2101,65,210,13090773,45200,308,6,15.96833333,2,1144,9265,35
Abra Cadabra - CADABRA FREESTYLE,10,1204381,56252,656,3255,1713628,0,0,7,15.00305556,1,1431,275,0
Highlights | Resumo: Benfica 3-4 Santa Clara (Liga 19/20 #28),22,283895,3886,273,955,67114660,179000,2413,5,21.3325,3,2046,278,28
Driving while Black pt.3,1,773969,85926,1696,5176,1180252634,7080000,361,5,12.00416667,3,5253,620,8
LEICESTER vs BRIGHTON With Mark Goldbridge LIVE,17,70054,1890,56,41,27294822,168000,716,5,20.02138889,3,1404,7245,12
Nothing But Thieves - Real Love Song (Lyric Video),10,217438,15407,96,1042,133526197,228000,107,5,18.50055556,3,2337,221,15
The most overlooked way to be more productive,1,517183,32243,277,1357,169264079,2770000,324,5,18.00083333,3,3261,653,13
Angry Man Humiliates Uber Driver. Driver Teaches Him a Lesson (2020),24,275971,35529,659,2228,325850838,5640000,270,5,16.08333333,3,5101,200,12
THE ARSENAL DEBATE: Gunners Finished As A Top Club?,17,358603,10238,254,1642,32064473,242000,130,6,16.05805556,2,956,1445,12
iOS 14 and all the WWDC updates!,28,403422,17523,525,1954,1185747715,6510000,0,5,8.090555556,3,5166,854,5
LIVERPOOL V CRYSTAL PALACE | WATCHALONG LIVE FANZONE COMMENTARY,17,87671,2190,59,64,148252864,419000,5653,3,1.463611111,5,3721,13027,20
"Son, are ya winning?",24,1512302,141649,627,4913,79756530,975000,39,5,1.1875,3,1475,26,0
First take: iOS 14 and all its new features,28,160395,3009,175,607,1197678548,2630000,19690,5,5.887777778,3,5168,491,12
